Gene_Proteins,EAA30,EAA13,PPS15,PPS24,PPS40,PPS47,PPS52,PPS64,PPS67,Young_Average,Young_SD,T-Test (Young to Pre-Old),T_Test_Young_to_Post,PRE_S03,PRE_S05,PRE_S10,PRE_S12,PRE_S15,PRE_S17,PRE_S24,PRE_S30,PRE_S32,PRE_S02,PRE_S04,PRE_S09,PRE_S11,PRE_S14,PRE_S16,PRE_S19,PRE_S21,PRE_S31,Old_Pre_Average,Old_Pre_SD,T_Test_Pre_to_Post),POST_S03,POST_S05,POST_S10,POST_S12,POST_S15,POST_S17,POST_S24,POST_S30,POST_S32,POST_S02,POST_S04,POST_S09,POST_S11,POST_S14,POST_S16,POST_S19,POST_S21,POST_S31,Old_Post_Average,Old_Post_SD
RBM4_RNA-binding protein 4,1.8958,2.283,1.2394,1.1778,2.1339,1.6607,1.8817,1.3712,0.9915,1.6261,0.4537,0.016,0.0003,1.8354,2.1618,2.2383,1.7944,2.4506,2.4692,3.8297,0.795,3.0818,2.3793,2.4408,3.2336,2.3035,1.7861,3.1035,1.7105,1.8748,1.789,2.2932,0.7012,0.2952,3.1354,2.1078,2.9923,2.0013,2.1894,3.2455,3.4763,2.3995,2.3162,2.3103,1.6882,2.0071,2.6284,2.0439,1.8544,3.2556,2.8828,2.8501,2.5214,0.5482
"RBM42;GN=;GN=;GN=_RNA-binding protein 42;Isoform of Q9BTD8, Isoform 2 of RNA-binding protein 42;Isoform of Q9BTD8, Isoform 3 of RNA-binding protein 42;Isoform of Q9BTD8, Isoform 4 of RNA-binding protein 42",0,0,0,0,0,0,0,0,0,0,0,0.0926,0.218,0,0,0,1.3339,0,1.1344,0,0,0,0,0,1.561,0,0,1.7364,1.9512,0,0,0.4287,0.7283,0.5668,0,0,2.1878,0,0,0,0,0,0,0,1.3581,0,0,0,1.7947,0,0,0,0.2967,0.6974
RBM5_RNA-binding protein 5,0,0,0,0,0,0,0,0,0,0,0,0.4903,0.4903,0,0.5235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0291,0.1234,0.809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7553,0,0,0,0.042,0.178
"RBM8A;GN=_RNA-binding protein 8A;Isoform of Q9Y5S9, Isoform 2 of RNA-binding protein 8A",13.1731,10.1697,8.0316,5.9454,9.3534,9.0634,9.0478,7.0163,5.3507,8.5724,2.3662,0.0385,0.0109,9.2947,13.026,9.0996,8.1757,7.3684,12.1664,17.0083,9.4417,8.9826,11.6909,9.5286,14.0796,7.43,9.7994,14.9744,12.1706,10.818,10.3681,10.8568,2.649,0.1003,15.9624,8.368,10.5831,8.4785,22.4814,16.0317,16.0702,5.5529,9.7516,12.7079,11.0361,10.12,12.6152,7.9847,17.9971,13.3699,14.8976,15.7238,12.7629,4.2266
"RBMX_RNA-binding motif protein, X chromosome",10.6362,20.8934,16.9161,13.2367,16.2581,15.5451,28.8566,9.7973,10.9121,15.8946,6.0313,0.0202,0.4184,42.3873,26.2127,20.6548,14.8911,13.8827,46.78,34.1712,25.5475,22.0192,24.8799,48.8795,22.6929,17.9057,12.0809,19.1536,27.467,21.3524,19.2709,25.5683,10.818,0.0283,20.0585,18.8505,27.1652,24.0392,0,22.4171,19.9353,12.3686,18.4024,24.5117,27.1404,8.9945,22.6201,10.2555,29.5054,0,27.7342,21.0357,18.613,8.8998
RBP4_Retinol-binding protein 4,0.7972,2.7978,1.102,1.7506,1.5072,2.717,0.9208,1.7251,1.7968,1.6794,0.7128,0.4395,0.005,0,3.995,2.2076,3.4796,3.2777,0.7915,2.6047,1.1456,2.7296,1.4868,1.5008,1.4421,2.0347,2.1067,2.3892,0.7595,2.2524,1.4299,1.9796,1.0244,0.0044,2.9363,3.6243,2.9175,1.4626,6.0579,3.1804,6.7971,5.2993,1.4242,1.3535,2.4627,4.9236,2.6533,5.0068,1.1814,5.7429,4.9002,2.6342,3.5866,1.7751
"RBPMS;GN=;GN=;GN=;GN=_RNA-binding protein with multiple splicing;Isoform of Q93062, Isoform B of RNA-binding protein with multiple splicing;Isoform of Q93062, Isoform C of RNA-binding protein with multiple splicing;Isoform of Q93062, Isoform D of RNA-binding protein with multiple splicing;Isoform of Q93062, Isoform E of RNA-binding protein with multiple splicing",0,0.3577,0.1391,0,0,0.1247,0,0,0.0879,0.0788,0.1197,0.111,0.089,0,0,0.1657,0.0967,0,0,0,0,0,0.1619,0,0,0,0,0,0,0,0,0.0236,0.0559,0.6741,0,0,0.1959,0.1523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0193,0.0568
RBSN_Rabenosyn-5,2.5685,1.4126,2.1345,1.9805,2.0435,1.4548,2.0977,1.9414,1.1559,1.8655,0.44,0.2607,0.4873,1.4663,2.0152,1.9356,1.5241,2.0591,2.1123,2.8344,2.3564,2.6959,1.896,2.0475,2.4171,2.0183,1.5389,2.2644,1.9898,2.0818,1.6753,2.0516,0.3736,0.9546,2.7663,1.8541,2.2383,1.6384,2.5324,2.3366,2.4953,0,2.5708,1.9461,1.7568,2.3501,2.2146,1.3018,3.0332,2.0603,2.1924,1.4668,2.0419,0.6792
RBX1_E3 ubiquitin-protein ligase RBX1,20.0996,19.289,30.4509,29.9833,16.0239,27.6626,18.4818,29.999,23.3242,23.9238,5.6866,0.0622,0.0059,20.9284,35.9511,26.9476,26.7748,31.3525,23.5646,44.7776,20.8328,21.2472,29.6448,29.3648,37.5137,32.8542,28.3335,40.6303,29.7517,32.7375,16.308,29.4175,7.3945,0.0502,43.5711,25.3118,35.8107,28.5707,42.0847,42.9913,49.4791,24.8097,21.9419,26.9199,25.1141,32.5596,36.6686,32.8669,31.3835,55.275,40.6271,23.6296,34.4231,9.588
RCAN1_Calcipressin-1,8.3327,5.3692,4.4341,3.8528,4.0038,5.6976,5.4218,6.0521,4.8686,5.337,1.3527,0.0786,0.3802,3.7268,4.1154,5.0912,3.7113,3.2868,4.4072,5.5012,4.6339,5.2192,4.8826,4.5586,5.3702,4.3171,4.057,5.3278,5.8454,4.1691,4.9114,4.6184,0.7027,0.1306,4.574,3.8781,5.8279,3.9339,4.4088,5.3874,5.303,5.764,4.3469,4.3428,4.7437,5.5358,4.4967,2.7137,7.4285,5.7707,4.8553,5.2973,4.9227,1.0181
"RCC1;GN=_Regulator of chromosome condensation;Isoform of P18754, Isoform 2 of Regulator of chromosome condensation",0.8736,0,0,0,0,0,0,0,0,0.0971,0.2912,0.3379,0.2724,0,0,0,1.3865,0,0,0,0,0,0.8561,0,0,0,0,1.054,0.7523,0,0.6411,0.2606,0.4551,0.5127,2.3746,0,0.6764,0,0,0,0,0,0,0,0.6865,0,0,0,1.9253,0,0,1.2748,0.3854,0.7367
RCC1L_RCC1-like G exchanging factor-like protein,0,2.6953,1.5104,1.6061,0,1.5995,1.724,1.7191,1.0035,1.3176,0.8657,0.0018,0.002,2.4173,3.0854,1.8114,2.9473,1.9755,2.6938,3.8042,1.4864,2.0333,3.2081,3.915,3.9418,2.3243,2.0165,1.8692,2.534,2.0242,1.1703,2.5143,0.8232,0.4004,3.9382,2.7876,3.4018,2.8492,4.6776,2.9026,3.291,0.9973,1.753,2.2671,3.0124,2.6162,3.4506,2.157,2.5781,3.0139,3.6814,0,2.7431,1.0747
RCC2_Protein RCC2,2.3539,2.6688,3.1081,3.6056,2.7846,4.1811,1.8003,4.1659,3.9374,3.1784,0.8469,0.0931,0.0795,3.4367,4.5052,4.5522,4.1546,3.3541,3.6607,5.842,1.9349,2.3884,4.2791,5.6095,5.321,4.8127,4.3621,4.7244,2.8465,3.6876,1.7278,3.9555,1.1875,0.4618,6.7468,5.168,5.3977,3.1033,7.6037,4.7993,3.4476,2.4301,1.8029,4.4944,4.6017,4.9032,5.8196,3.3439,3.1521,4.8231,3.6134,1.271,4.2512,1.6433
RCCD1_RCC1 domain-containing protein 1,1.2428,0.989,0,0,0.9796,0.6283,0.4564,0.9504,0.778,0.6694,0.4418,0.7739,0.0065,0.5295,0.828,0.7969,0.574,0,0.8394,1.2141,1.0672,0,0,0.5642,1.1127,0.5687,0.7313,0.9286,0.7646,0.9184,1.516,0.7196,0.4151,0.0071,0.7969,0.9566,0.9385,0.8793,1.3926,1.0934,1.2216,1.5241,1.2855,0.8007,0.7836,0.8705,1.0919,0.6718,1.0551,1.3846,1.1532,1.0986,1.0555,0.2398
RCE1_CAAX prenyl protease 2,0,0,0,0,0,0,0,0,0,0,0,0.0004,0.0097,0,0.8221,1.6623,1.5091,1.4226,0,1.6157,1.2364,0,2.6826,0.9286,3.4482,0,1.489,2.0191,2.26,1.7252,1.1765,1.3332,0.9578,0.2108,1.7234,2.9677,1.3342,2.5306,0,1.4105,0,0,0,0,1.4224,1.5834,0,0,1.8404,0.9201,0.8174,0,0.9194,0.9752
RCN1_Reticulocalbin-1,60.5324,34.3645,26.0196,22.7185,35.7659,31.1597,27.8769,33.2205,20.9463,32.5116,11.6983,0.0599,0.7041,23.5199,25.3112,27.6389,19.3743,20.5671,21.6901,40.6968,20.7993,27.6568,16.4872,20.9473,27.4151,23.6641,18.9583,41.7302,33.6676,24.2296,23.8013,25.4531,6.9831,0.0445,45.8351,46.2299,30.4868,23.5733,42.172,31.5268,30.2358,16.1816,22.9443,17.6593,20.9757,37.7815,37.2129,13.9399,37.6185,49.9147,29.2628,19.7314,30.7379,11.1198
"RCN2;GN=_Reticulocalbin-2;Isoform of Q14257, Isoform 2 of Reticulocalbin-2",23.615,16.0994,12.6009,12.2202,12.6377,12.9567,21.1761,21.0187,13.1464,16.1635,4.5317,0.1799,0.1232,13.8527,15.5924,17.6044,17.5884,13.4795,22.7018,28.8975,14.7282,13.403,14.1074,16.9835,21.4235,21.4383,23.4963,25.1623,30.0408,17.5487,14.2857,19.0186,5.3026,0.6043,23.2273,21.7783,18.703,16.5737,31.9025,19.6916,19.6436,7.6194,16.7253,15.6846,17.2154,18.0169,20.0768,13.4759,29.587,31.1981,19.9258,16.2539,19.85,6.1199
RCN3_Reticulocalbin-3,9.3516,12.123,4.0635,2.804,6.929,4.5856,4.4869,5.2072,3.3605,5.879,3.0681,0.1094,0.1349,2.7004,5.0051,2.8975,4.3085,7.2289,3.5445,7.3818,4.4325,6.0423,5.2499,3.4588,3.5611,3.9354,4.3072,5.5995,4.3763,2.8638,3.5621,4.4698,1.3889,0.0017,17.426,13.1742,5.0911,5.1171,18.2862,8.0017,7.7861,6.2405,7.5401,6.5731,4.0144,10.8213,7.3688,2.8593,7.8705,17.9692,4.7766,4.7704,8.6492,4.8923
"RCOR3;GN=;GN=_REST corepressor 3;Isoform of Q9P2K3, Isoform 3 of REST corepressor 3;Isoform of Q9P2K3, Isoform 4 of REST corepressor 3",0,0,0,0,0,0,0,0,0,0,0,0.0012,0.0185,0,0.4432,0,0.4539,0.7046,1.0704,1.6378,0,0.6871,0,0,0.701,1.0151,0.7253,1.4499,1.2042,0.7023,0.5224,0.6287,0.5116,0.0495,0,0,0,0,0.5652,0,1.246,0,1.1207,0.5523,0.4593,0.3519,0.8234,0.7611,1.1558,0,0,0,0.3909,0.4609
RCSD1_CapZ-interacting protein,25.721,25.1773,19.829,19.746,24.9729,21.3498,29.5219,25.5803,17.8159,23.3016,3.7857,0.1638,0.8117,14.2277,14.1063,19.6843,15.4926,12.7166,18.0202,34.4557,16.9336,17.5066,12.8691,11.5672,21.562,20.109,16.0103,33.2851,19.8295,35.7311,16.8578,19.498,7.4348,0.0681,32.1513,21.0728,25.3345,17.8041,16.0481,28.3061,31.6389,18.5961,14.1571,11.9915,11.218,34.8321,25.1127,9.9211,24.0714,27.3797,35.0684,22.3489,22.6141,8.0727
RDH10_Retinol dehydrogenase 10,0.3416,0,0.2515,0,0.2276,0.2293,0,0,0.202,0.1391,0.1374,0.0354,0.0362,0.2998,0.3861,0,0.4349,0.1939,0.2009,0.2504,0.3488,0.1951,0.3977,0.2524,0,0.3696,0.5939,0.5755,0.336,0,0.3273,0.2868,0.1733,0.0988,1.0011,1.6781,1.0299,0,0,0.4838,0.3901,0,0.4688,0.7556,0,1.0483,0.7286,0.1333,0,0.6429,0,0.8982,0.5144,0.4947
RDH11_Retinol dehydrogenase 11,30.8097,48.6418,38.3531,28.7925,35.8153,22.8556,50.751,28.5434,39.9675,36.0589,9.3938,0.0004,0.0086,76.5307,48.2517,66.8067,44.6196,48.3585,71.7234,46.0957,51.9575,46.3769,82.385,60.7054,72.0925,78.8661,44.7507,48.3782,68.9941,48.9154,35.3998,57.8449,14.3638,0.8116,59.1423,67.1774,49.6035,76.8104,46.39,53.0494,41.4784,23.775,48.5932,81.278,80.4113,37.8424,87.9618,42.1559,120.1438,50.9482,64.5381,35.437,59.2631,23.3085
RDH13_Retinol dehydrogenase 13,19.6466,16.7691,15.4135,10.1573,16.3594,16.3566,31.0274,24.5474,16.9905,18.5853,6.0035,0.0016,0.0002,29.603,49.3642,31.5588,26.9417,24.5455,32.0746,44.4489,22.649,27.3906,30.5385,51.1007,42.461,20.0997,25.8464,28.7707,27.702,21.4509,20.8354,30.9656,9.5602,0.4596,40.7472,31.7851,46.6136,39.3478,29.78,48.6273,34.5241,14.0644,27.3889,27.7762,44.9383,24.9735,26.3023,26.5313,31.0243,31.3277,38.2222,27.8841,32.881,8.7947
RDH14_Retinol dehydrogenase 14,13.4396,13.1768,12.9748,11.7106,8.7754,12.4564,12.5877,16.4667,11.6013,12.5766,2.0175,0.0802,0.0016,11.5355,23.8623,15.2237,15.2766,16.9736,10.8608,30.5324,7.3308,9.8878,17.5246,18.4216,20.5395,11.5476,14.2429,25.4419,14.6525,15.9936,13.0617,16.2727,5.8607,0.0742,31.1744,17.2991,29.3773,17.9399,17.747,26.772,25.3818,10.1163,13.0189,15.3276,15.0459,14.5707,20.188,20.6328,16.7341,26.0093,26.5532,16.1829,20.0039,6.0936
RDH5_Retinol dehydrogenase 5,0,0,0,0,0,0,4.6041,0,0,0.5116,1.5347,0.3229,0.5184,0,2.1613,0,0,6.8655,0,5.3971,0,0,0.409,0,3.9563,7.6911,0,0,0,0,0,1.4711,2.6229,0.5375,0,8.2722,1.9073,0,0,0,2.42,0,1.3992,1.887,0,2.4326,0,0,0,0,0,0,1.0177,2.0396
RDX_Radixin,287.1362,231.4247,246.2639,208.5832,244.6068,286.0837,225.707,218.5276,153.3935,233.5252,40.7051,0.4385,0.7317,155.4661,166.6526,181.7692,231.3266,169.7355,232.3061,253.2565,336.6268,203.2832,215.5996,120.6777,246.5981,227.4,196.5621,284.741,262.1875,229.0583,214.5859,218.2129,50.577,0.7115,205.1153,185.7048,149.7657,172.3933,343.2608,251.8143,202.452,276.835,242.0333,123.815,181.0159,228.5489,344.9006,134.7903,342.6111,306.7105,169.9871,178.8368,224.4773,72.3221
RECK_Reversion-inducing cysteine-rich protein with Kazal motifs,0,0.6684,0,0,0,0.2073,0,0,0,0.0973,0.2249,0.0727,0.9862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1905,0,0,0,0,0,0,0,0.5755,0,0,0,1.2125,0,0,0,0,0,0,0.0993,0.309
RECQL_ATP-dependent DNA helicase Q1,1.0397,0.3466,1.3829,0.9036,1.2424,1.4276,0.7115,0.5711,0.6787,0.9227,0.3779,0.0449,0.0122,1.4915,2.3644,1.6354,0.9991,0.859,1.4861,2.9011,1.0405,0.2388,2.0038,2.3245,1.6244,1.0942,0.9723,1.7654,1.411,1.1126,0.5164,1.4356,0.6733,0.5052,1.9024,1.1604,1.7339,1.5938,1.7259,1.755,2.6929,1.6643,0.6543,2.009,1.4559,0.7585,1.388,1.3048,1.7717,1.7089,2.4083,0,1.5382,0.6254
"REEP1_Isoform of Q9H902, Receptor expression-enhancing protein",8.2697,4.8474,3.4866,3.3241,3.1425,4.8763,4.9767,6.2274,3.862,4.7792,1.6448,0.1633,0.03,6.4437,6.2232,4.606,5.1289,5.2116,6.3982,16.8407,4.1271,3.2946,6.698,8.3297,7.6382,4.2373,4.5092,8.7771,6.1534,5.6539,3.9012,6.3429,3.0307,0.1801,11.0077,7.2933,9.548,7.3168,5.5709,10.0019,13.296,1.2469,4.8426,6.109,7.5234,3.91,7.2393,4.2792,8.2187,8.6982,9.5547,4.2654,7.2179,2.9384
REEP3_Receptor expression-enhancing protein 3,3.3511,3.2465,3.9546,4.1675,3.0723,3.0276,5.5201,3.7009,3.129,3.6855,0.7979,0.004,0.1213,5.1149,3.0082,4.9902,6.4957,4.377,5.5714,4.2556,5.0646,3.982,5.0332,4.6895,5.47,5.364,3.8133,4.6254,6.9809,3.9278,7.2494,5.0007,1.1024,0.6995,6.3826,5.8321,6.811,2.9903,2.9075,4.5865,3.8364,0,4.1198,5.5947,4.2896,5.9769,6.5871,3.6716,9.0407,5.2051,4.7393,3.556,4.7848,1.9612
REEP5_Receptor expression-enhancing protein 5,739.074,189.4566,974.3181,615.2893,354.0533,752.1304,352.0019,1082.9447,972.7628,670.2257,316.4598,0.0083,0.1082,2072.6967,1180.082,1356.8138,1018.8861,921.452,1607.5355,1155.4753,625.6748,445.0424,1260.5148,1077.5243,1942.1815,1764.3736,1380.0656,1225.6035,3070.5198,1161.3043,405.6964,1315.0801,631.4701,0.0456,939.0702,1978.4413,914.5601,1538.9351,1193.7796,1000.8762,501.3281,111.6403,530.7318,1308.4984,800.6023,1093.1486,1267.9263,433.869,1649.3066,1021.007,955.2478,236.4051,970.8541,490.0274
"REEP6;GN=_Receptor expression-enhancing protein 6;Isoform of Q96HR9, Isoform 2 of Receptor expression-enhancing protein 6",6.8847,0,2.5311,3.0845,6.751,4.4228,5.2838,6.4641,3.6788,4.3445,2.2864,0.7996,0.7061,3.5681,2.5539,3.4604,2.2852,6.608,7.1213,0,4.4735,7.2511,6.2769,7.3085,5.4776,7.8866,2.9771,2.661,2.4144,7.0153,3.21,4.5861,2.3156,0.822,3.8735,4.1805,4.2561,4.9627,11.2208,4.7751,4.3724,2.6352,3.9644,6.1912,5.3262,7.2925,4.1077,1.9,4.2511,0,8.2057,3.4179,4.7185,2.4543
REL_Proto-oncogene c-Rel,1.8488,2.0884,0.4798,0.7642,0.9794,1.0301,0.9104,0.9585,0.8817,1.1046,0.5194,0.076,0.583,0.411,0.488,0.788,0.9929,0.7174,0.6585,1.5699,0.7853,1.01,0.6573,0.896,0.617,0.7642,0.8126,0.9233,1.1231,0.7378,0.9795,0.8295,0.2606,0.1696,1.1735,1.0496,0.9647,0.8652,1.5748,1.1497,1.3469,1.0208,1.1196,0.4403,0.8326,1.8539,0.6352,0.6247,0.8272,1.3634,1.1706,0,1.0007,0.4253
"RELA;GN=_Transcription factor p65;Isoform of Q04206, Isoform 2 of Transcription factor p65",15.4913,13.071,9.7096,8.0035,11.0298,12.5572,10.4917,11.7844,8.5666,11.1895,2.3453,0.6404,0.1136,8.905,10.1909,11.7685,10.0167,10.327,10.7885,17.8017,10.2766,10.2118,11.7584,11.2623,14.3744,11.4707,10.3229,15.7997,12.874,11.9852,9.3283,11.6368,2.3039,0.0649,16.2816,13.9934,14.0318,9.4672,15.7843,14.7157,15.0668,8.9047,9.68,10.8211,10.0027,16.2248,14.6283,8.4695,14.2725,16.2453,13.2074,11.404,12.9556,2.7661
RELL1_RELT-like protein 1,4.2052,3.3629,2.4378,1.5381,2.3172,2.8431,3.1765,2.0611,2.527,2.7188,0.7868,0.2885,0.5834,1.7492,2.8815,3.8073,3.1313,7.6484,3.8438,5.5714,2.2535,0,2.82,2.8473,4.159,2.2589,3.2004,4.4632,4.0871,3.5518,1.9602,3.3463,1.6319,0.3718,3.5966,2.6069,3.7103,3.8488,4.1212,4.1408,4.9811,0,2.3773,2.6024,3.8532,3.5833,3.0528,2.2707,2.7682,0,3.3847,2.7711,2.9816,1.2974
REM1_GTP-binding protein REM 1,0.6444,0.9324,0,0.356,0.6858,0.859,0.5526,0.5699,0.3223,0.5469,0.2875,0.1029,0.7793,0.29,0.4991,0.5813,0.273,0.4063,0,0.6492,0,0,0.7917,0.5144,0.4321,0.1853,0.5809,0.4684,0.5222,0.4243,0,0.3677,0.245,0.1808,0.7577,0.9027,0.5756,0,1.5312,0.2935,0.7154,0.3411,0.3668,0.3333,0.3981,0.6101,0,0.2442,0.8108,1.1597,0,0,0.5022,0.4254
RENBP_N-acylglucosamine 2-epimerase,0,2.1643,1.0914,0,1.5013,0,1.2421,0,0,0.6666,0.8421,0.3901,0.1605,0,0,1.7415,0.6606,2.5994,0,0,0,1.5463,1.4684,0,1.7885,1.1355,0,2.3429,1.5046,1.7638,1.1545,0.9837,0.9088,0.2164,3.0269,1.787,1.7065,0,3.169,1.7704,8.9068,1.8177,0,1.3995,0.9062,2.8345,0,0.9841,0,3.0933,0,0,1.7446,2.1372
"REPIN1;GN=_Replication initiator 1;Isoform of Q9BWE0, Isoform 2 of Replication initiator 1",0.5072,0,0,0.5138,0,0,0.4076,0.7,0,0.2365,0.2902,0.0004,0.0019,0.5616,0.4224,0.4957,0.4861,0.384,0.7877,0.9595,0.4075,0.6102,0.415,0.5576,1.072,0.4999,0.8402,0.5291,0.6888,0.8265,0.787,0.6295,0.2051,0.8284,1.2322,0.739,0.7491,0.4193,0.7864,0.7064,0.717,0,0.4123,0.3619,0.6027,0.8327,0.7566,0.4268,0.6417,0.4795,0.5862,0.6044,0.6141,0.2552
"REPS1;GN=;GN=;GN=_RalBP1-associated Eps domain-containing protein 1;Isoform of Q96D71, Isoform 2 of RalBP1-associated Eps domain-containing protein 1;Isoform of Q96D71, Isoform 3 of RalBP1-associated Eps domain-containing protein 1;Isoform of Q96D71, Isoform 4 of RalBP1-associated Eps domain-containing protein 1",3.5423,3.4238,2.602,2.7113,1.8835,2.908,4.5097,2.8504,2.4044,2.9817,0.7602,0.1276,0.0456,2.9884,3.4843,2.8166,2.9691,2.9694,3.593,5.7169,4.2623,1.9539,3.4463,4.4538,4.7565,3.8743,2.8754,4.6489,3.7283,3.1387,2.2888,3.5536,0.9433,0.2452,4.5217,4.4129,4.8833,2.9602,4.746,4.6739,4.7777,0,2.5129,4.7728,3.4956,3.3387,5.374,2.3711,5.144,5.0563,4.697,4.4,4.0077,1.351
RER1_Protein RER1,36.14,23.3997,36.5848,31.2593,16.6674,50.245,22.1383,48.5743,45.984,34.5548,12.1933,0.9493,0.7278,35.7796,39.3018,36.0678,22.984,32.4469,27.8972,62.2387,16.5824,29.7304,36.3788,53.8551,28.086,26.031,33.1665,51.292,38.02,28.025,18.446,34.2405,11.8976,0.5036,39.4002,46.8299,50.3051,54.4528,28.1206,24.5347,45.3756,17.1562,25.7558,47.1491,30.2494,28.3517,31.3036,15.6156,50.142,59.7212,41.107,20.3028,36.4374,13.5052
RERE_Arginine-glutamic acid dipeptide repeats protein,3.3189,0,2.6236,1.9524,4.0688,0,0,0,2.3824,1.594,1.623,0.0006,0.2859,4.1308,3.3995,5.0306,0,3.7894,6.6521,2.4647,4.665,4.1515,5.1398,3.007,5.0535,2.3933,4.0253,3.7278,5.1017,4.9562,5.1868,4.0486,1.473,0.0131,2.0436,0,0,3.984,4.3393,4.0877,4.0227,0,3.2179,2.1866,3.8346,1.3787,3.139,0,4.6914,2.6979,2.6159,0,2.3466,1.7214
RETREG2_Reticulophagy regulator 2,0,0.6273,0,0.6686,1.1326,0.6643,0.8248,0.9623,0.7621,0.6269,0.3897,0.0119,0.0039,1.2982,1.4398,1.6547,1.6824,0.5416,0.983,2.1427,1.7408,0,0.9994,0,1.8134,1.9116,1.6425,0.8809,2.2244,0.993,0.982,1.2739,0.6558,0.2244,2.8754,2.3995,2.5259,1.6004,1.7845,0.7627,1.1506,0,2.1246,1.4183,0,1.997,1.9015,0.8875,1.2761,2.4391,1.0302,1.6848,1.5477,0.8166
RETREG3_Reticulophagy regulator 3,11.1555,12.0979,7.3333,8.6533,8.82,12.3878,6.3233,8.134,5.1536,8.8954,2.5313,0.8166,0.6344,8.1609,5.5913,10.7577,9.3245,5.7408,8.4715,8.9261,10.2035,15.4348,10.3549,5.2508,10.4205,10.228,9.6895,5.5571,9.4648,5.663,6.4121,8.6473,2.6216,0.6872,8.7478,11.283,11.133,10.5007,3.5606,4.1455,4.8755,2.8935,15.1836,11.1963,11.6874,4.3811,6.8296,3.9315,7.4063,9.4695,9.4214,11.7749,8.2456,3.6132
"RETSAT_All-trans-retinol 13,14-reductase",3.7238,2.6854,1.8235,3.0597,2.9585,3.0853,3.9241,3.0451,2.6255,2.9923,0.6139,0.01,0.0002,4.2632,10.212,5.6327,5.5338,8.6631,3.6447,13.3125,2.3343,3.1449,4.7813,3.9859,9.0384,9.3517,3.7853,6.1369,4.7677,3.3216,3.4112,5.8512,3.017,0.4965,6.4357,7.8023,7.2279,5.7799,7.0782,4.9646,7.9547,2.7253,4.4645,3.4125,4.1098,3.8912,4.5824,4.9826,7.5007,6.4051,4.3905,4.3177,5.4459,1.6125
"REXO2_Oligoribonuclease, mitochondrial",0.1273,2.6467,0.5277,0.4742,0.9483,0.9725,0.5855,0.5657,0,0.7609,0.7764,0.0746,0.9216,0,0,0.8514,0.7335,0.4602,0,0,0.4547,1.673,0.3383,0.479,0,0.4012,0,0,0,0.3126,0.2605,0.3314,0.4321,0.0501,0.5003,0.3035,1.3596,0.8249,1.0123,0.3294,1.6589,3.2781,0.306,0,0.095,1.5434,0.5031,0.329,0,1.318,0.9269,0,0.7938,0.8261
"RFESD;GN=_Rieske domain-containing protein;Isoform of Q8TAC1, Isoform 2 of Rieske domain-containing protein",0,0.763,0,0,0.5127,0,0.3237,0.6781,0,0.2531,0.3227,0.0023,0.9358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0149,0,0,0,0,0.708,0.5073,0,0.5366,0,0,0,0,0,1.2169,0,0.6451,0.7253,0,0.2411,0.3776
RFK_Riboflavin kinase,0,1.4632,0,0,0,0,0.6646,0,0,0.2364,0.5099,0.1739,0.0001,5.443,0.4927,0,0.5862,0,4.7018,0,0.5076,1.0184,0.5836,4.4292,0,1.343,0,0,0,0.4133,0.1506,1.0927,1.7835,0,8.7478,6.3992,7.4201,0,9.996,10.9845,3.6026,3.0862,0,6.7713,6.7986,0,5.9785,5.4545,7.0697,12.0151,7.9454,6.9416,6.0673,3.5664
RFT1_Protein RFT1 homolog,1.9328,0,0,1.5048,1.4318,0.6242,0,1.5371,1.5421,0.9525,0.7917,0.0945,0.0116,1.589,1.5875,2.1544,1.0028,1.3567,1.5473,4.0157,0,1.582,1.7553,1.703,1.5139,1.57,1.5321,2.5436,0.8449,1.742,0,1.5578,0.8805,0.4192,2.6528,1.8846,3.1327,1.2651,1.2007,2.0596,1.6874,0.7632,1.8221,2.2515,0.7205,1.1431,2.4751,1.2825,1.2003,2.4184,2.1738,1.3666,1.75,0.68
RFTN1_Raftlin,12.0973,12.5346,9.0824,8.9224,10.0686,10.0715,12.3295,10.4449,10.179,10.6367,1.3622,0.8587,0.123,6.7087,9.6186,12.3601,11.2364,7.8808,11.2424,16.3215,7.443,9.5786,14.4893,16.9874,14.9827,8.588,8.4703,13.8086,9.0035,7.3004,9.1285,10.8416,3.2515,0.0896,15.6855,11.6875,20.2727,13.2776,7.4033,17.9011,12.7035,5.0924,9.3621,13.6167,13.99,10.4636,13.4367,7.7958,12.4624,14.8159,15.9227,12.9347,12.7125,3.7481
RFX3_Transcription factor RFX3,0,0,0,0,0,0.8498,7.6304,0,0,0.9422,2.5237,0.576,0.8822,0,0,0,5.2921,0,0,0,0.9859,0,0,0,0,1.1622,0,0,2.0489,0,0,0.5272,1.3178,0.6914,0,0,0,0,0,0,7.3658,0,0,0,0,0,0,0,0,0,0,6.9688,0.7964,2.3188
